V |                      | ArgumentsFromParametersFile.OnBuildCreated (150)
V |                      | Passing value for <unresolved> (dotnet.sln)
V |                      | HandleReSharperSurrogateArguments.OnBuildCreated (150)
V |                      | InjectParameterValues.OnBuildCreated (100)
V |                      | HandleShellCompletion.OnBuildCreated (75)
V |                      | GenerateBuildServerConfigurations.OnBuildCreated (50)
V |                      | InvokeBuildServerConfigurationGeneration.OnBuildCreated (45)
V |                      | UpdateNotification.OnBuildCreated (10)
V |                      | UnsetVisualStudioEnvironmentVariables.OnBuildCreated (0)
V |                      | HandleVisualStudioDebugging.OnBuildCreated (0)
V |                      | EventInvoker.OnBuildCreated (-3.4028235E+38)
V |                      | HandlePlanRequests.OnBuildInitialized (10)
V |                      | HandleHelpRequests.OnBuildInitialized (5)
V |                      | Telemetry.OnBuildInitialized (0)
V |                      | InjectNonParameterValues.OnBuildInitialized (-100)
V |                      | EventInvoker.OnBuildInitialized (-3.4028235E+38)
V | Restore              | EventInvoker.OnTargetRunning (-3.4028235E+38)
V | Restore              | Telemetry.OnTargetSucceeded (0)
V | Restore              | EventInvoker.OnTargetSucceeded (-3.4028235E+38)
V | Compile              | EventInvoker.OnTargetRunning (-3.4028235E+38)
V | Compile              | Telemetry.OnTargetSucceeded (0)
V | Compile              | EventInvoker.OnTargetSucceeded (-3.4028235E+38)
V |                      | UpdateNotification.OnBuildFinished (10)
V |                      | SerializeBuildServerState.OnBuildFinished (0)
V |                      | EventInvoker.OnBuildFinished (-3.4028235E+38)
